2016-07-19 13:43:57 3266 10.60  808.4 8569.0   8.08 -823.6 -6654.  -0.78 221.00 210.00 
2016-07-19 16:08:13 5753 10.72  434.0 4652.4   8.35 -376.0 -3140.  -0.67 221.00 201.00 
2016-07-19 16:08:17 5754 10.72  444.4 4763.9   8.35 -372.0 -3106.  -0.65 221.00 201.00 
2016-07-19 16:08:20 5755 10.72  444.8 4768.2   8.35 -372.0 -3106.  -0.65 221.00 201.00 
2016-07-19 16:08:24 5756 10.73  429.6 4608.7   8.35 -376.8 -3147.  -0.68 221.00 201.00 
2016-07-19 16:08:28 5757 10.72  433.2 4643.9   8.35 -375.6 -3137.  -0.68 221.00 201.00 
2016-07-19 16:08:30 5758 10.72  433.2 4643.9   8.35 -375.6 -3137.  -0.68 221.00 201.00 
2016-07-19 16:08:34 5759 10.72  444.8 4768.2   8.35 -371.6 -3103.  -0.65 221.00 201.00 
2016-07-19 16:08:38 5760 10.72  432.8 4639.6   8.35 -375.6 -3137.  -0.68 221.00 201.00 
2016-07-19 16:08:40 5761 10.72  434.0 4652.4   8.35 -374.8 -3130.  -0.67 221.00 201.00 
2016-07-19 16:08:44 5762 10.72  444.4 4763.9   8.35 -371.2 -3100.  -0.65 221.00 201.00 
2016-07-19 16:08:48 5763 10.72  443.6 4755.3   8.35 -371.2 -3100.  -0.65 221.00 201.00 
2016-07-19 16:08:51 5764 10.73  418.0 4484.3   8.36 -380.4 -3180.  -0.71 216.00 167.00 
2016-07-19 16:08:54 5765 10.78  279.2 3008.6   8.27 -184.8 -1528.  -0.51 215.00 210.00 
2016-07-19 16:08:58 5766 10.78  278.8 3004.3   8.27 -184.4 -1525.  -0.51 214.00 210.00 
2016-07-19 16:09:02 5767 10.79  227.6 2456.2   8.25 -121.6 -1002.  -0.41 213.00 210.00 
2016-07-19 16:09:05 5768 10.79  227.6 2456.2   8.25 -121.2 -999.6  -0.41 212.00 210.00 
2016-07-19 16:09:09 5769 10.79  228.8 2469.2   8.25 -121.2 -999.6  -0.40 211.00 210.00 
2016-07-19 16:09:13 5770 10.80  212.4 2293.9   8.24 -102.8 -847.0  -0.37 210.00 210.00 
2016-07-19 16:09:15 5771 10.80  212.0 2289.6   8.24 -102.8 -847.0  -0.37 210.00 210.00 
2016-07-19 16:09:19 5772 10.80  214.0 2311.2   8.24 -102.8 -847.0  -0.37 210.00 210.00 
2016-07-19 16:09:23 5773 10.80  214.0 2311.2   8.24 -102.8 -847.0  -0.37 210.00 210.00 
2016-07-19 16:09:26 5774 10.79  225.2 2430.3   8.24 -102.0 -840.4  -0.35 210.00 210.00 
2016-07-19 16:09:30 5775 10.81  197.2 2131.3   8.24 -103.6 -853.6  -0.40 210.00 210.00 
2016-07-19 16:09:34 5776 10.80  214.0 2311.2   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:09:36 5777 10.80  212.4 2293.9   8.24 -102.8 -847.0  -0.37 210.00 210.00 
2016-07-19 16:09:40 5778 10.81  198.0 2139.9   8.24 -103.2 -850.3  -0.40 210.00 210.00 
2016-07-19 16:09:44 5779 10.81  201.6 2178.8   8.24 -103.2 -850.3  -0.39 210.00 210.00 
2016-07-19 16:09:47 5780 10.80  212.4 2293.9   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:09:51 5781 10.79  224.8 2426.0   8.24 -102.0 -840.4  -0.35 210.00 210.00 
2016-07-19 16:09:55 5782 10.79  228.8 2469.2   8.24 -101.6 -837.1  -0.34 210.00 210.00 
2016-07-19 16:09:57 5783 10.80  213.2 2302.5   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:01 5784 10.80  212.8 2298.2   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:05 5785 10.80  213.6 2306.8   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:07 5786 10.80  213.2 2302.5   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:11 5787 10.80  212.4 2293.9   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:15 5788 10.80  212.4 2293.9   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:18 5789 10.80  213.6 2306.8   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:22 5790 10.81  193.6 2092.4   8.24 -103.6 -853.6  -0.41 210.00 210.00 
2016-07-19 16:10:26 5791 10.80  212.8 2298.2   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:28 5792 10.80  214.0 2311.2   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:32 5793 10.81  192.8 2083.7   8.24 -103.2 -850.3  -0.41 210.00 210.00 
2016-07-19 16:10:36 5794 10.81  192.8 2083.7   8.24 -103.2 -850.3  -0.41 210.00 210.00 
2016-07-19 16:10:39 5795 10.80  213.2 2302.5   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:43 5796 10.80  213.6 2306.8   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:47 5797 10.80  212.4 2293.9   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:49 5798 10.80  212.4 2293.9   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:53 5799 10.80  213.6 2306.8   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:10:57 5800 10.80  212.0 2289.6   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:11:00 5801 10.80  212.0 2289.6   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:11:04 5802 10.80  214.8 2319.8   8.24 -102.0 -840.4  -0.36 210.00 210.00 
2016-07-19 16:11:08 5803 10.80  213.2 2302.5   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:11:10 5804 10.80  212.0 2289.6   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:11:14 5805 10.81  193.6 2092.4   8.24 -103.2 -850.3  -0.41 210.00 210.00 
2016-07-19 16:11:18 5806 10.81  204.0 2204.8   8.24 -102.8 -847.0  -0.38 210.00 210.00 
2016-07-19 16:11:21 5807 10.80  212.4 2293.9   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:11:25 5808 10.80  212.8 2298.2   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:11:29 5809 10.80  213.2 2302.5   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:11:31 5810 10.80  214.0 2311.2   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:11:35 5811 10.80  212.4 2293.9   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:11:39 5812 10.80  213.2 2302.5   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:11:41 5813 10.80  212.4 2293.9   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:11:45 5814 10.80  212.4 2293.9   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:11:49 5815 10.80  213.2 2302.5   8.24 -102.0 -840.4  -0.37 210.00 210.00 
2016-07-19 16:11:52 5816 10.80  216.0 2332.8   8.24 -102.0 -840.4  -0.36 210.00 210.00 
2016-07-19 16:11:56 5817 10.80  213.2 2302.5   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:12:00 5818 10.80  213.2 2302.5   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:12:02 5819 10.80  215.2 2324.1   8.24 -102.0 -840.4  -0.36 210.00 210.00 
2016-07-19 16:12:06 5820 10.80  213.6 2306.8   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:12:10 5821 10.80  212.8 2298.2   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:12:13 5822 10.80  213.2 2302.5   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:12:17 5823 10.80  212.8 2298.2   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:12:21 5824 10.80  212.4 2293.9   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:12:23 5825 10.80  212.0 2289.6   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:12:27 5826 10.79  226.0 2438.9   8.24 -101.6 -837.1  -0.34 210.00 210.00 
2016-07-19 16:12:31 5827 10.79  224.4 2421.7   8.24 -101.6 -837.1  -0.35 210.00 210.00 
2016-07-19 16:12:34 5828 10.80  213.2 2302.5   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:12:38 5829 10.80  214.0 2311.2   8.24 -102.0 -840.4  -0.36 210.00 210.00 
2016-07-19 16:12:42 5830 10.80  212.4 2293.9   8.24 -102.4 -843.7  -0.37 210.00 210.00 
2016-07-19 16:12:44 5831 10.80  212.4 2293.9   8.24 -102.4 -843.7  -0.37 210.00 210.00 
